Subject,Sender,Body,Label
We appreciate your feedback!,support@subscription.com,Thanks for signing up! Here are some useful resources to get started.,0
Unauthorized access attempt detected,info@claim-reward.com,Exclusive offer: Redeem your coupon before it expires!,1
Meeting rescheduled to next week,support@bank.com,Reminder: Your service plan has been renewed successfully.,0
Team meeting scheduled for tomorrow,newsletter@company.com,We've updated our security features. No action is required on your part.,0
Subscription renewal confirmation,alerts@finance-notice.com,Automatic bill payment confirmation,0
Limited-time offer! Claim your bonus now,service@order-cancellation.com,Confirm your email for a security upgrade,1
Account activity summary available,security@facebook.com,Reminder: Your service plan has been renewed successfully.,0
Friendly reminder: Upcoming event,security@facebook.com,Your invoice for this month's subscription is available in your dashboard.,0
Suspicious login detected on your account,service@order-cancellation.com,We've detected unauthorized access. Reset your password now!,1
Congratulations! You have won a prize!,alerts@fraud-detection.com,Get exclusive VIP benefits now!,1
Suspicious login detected on your account,alerts@fraud-detection.com,Congratulations! You're eligible for a special discount,1
Upcoming maintenance alert,care@verified-service.com,Your invoice for this month's subscription is available in your dashboard.,0
Your PayPal account has been suspended,no-reply@payment-failure.com,Congratulations! You're eligible for a special discount,1
Security update: New features available,contact@customer-support.com,Enjoy new features in your latest app update,0
Unusual activity detected on your account,info@claim-reward.com,Suspicious login detected: Secure your account now!,1
We appreciate your feedback!,alerts@finance-notice.com,Friendly reminder: Your account is in good standing,0
Limited-time offer! Claim your bonus now,help@banking-security.com,You have won a lucky draw! Claim your prize here.,1
Invoice for your recent purchase,support@subscription.com,Your monthly statement is attached. Let us know if you have questions.,0
Thank you for your recent purchase,support@subscription.com,Enjoy new features in your latest app update,0
Subscription renewal confirmation,admin@paypal.com,Friendly reminder: Your account is in good standing,0
Subscription renewal confirmation,updates@official-source.com,Your monthly statement is attached. Let us know if you have questions.,0
Your monthly bank statement is ready,no-reply@billing.com,We've updated our security features. No action is required on your part.,0
Important notice: Update your credentials,service@banking-alert.com,Your account has been locked. Click below to restore access.,1
Payment failed: Update your billing details,support@funds-transfer.com,We've detected unauthorized access. Reset your password now!,1
Your order has been canceled,admin@paypal-security.com,Your payment has been declined. Confirm your details.,1
Suspicious login detected on your account,account@amazon-verification.com,Confirm your email for a security upgrade,1
Invoice for your recent purchase,admin@paypal.com,Automatic bill payment confirmation,0
Invoice for your recent purchase,support@subscription.com,Automatic bill payment confirmation,0
Important security notice for your account,team@corporate-mail.com,Friendly reminder: Your account is in good standing,0
Unusual activity detected on your account,alerts@fraud-detection.com,Confirm your email for a security upgrade,1
Invoice for your recent purchase,info@officialnews.com,We have received your support request,0
Important security notice for your account,updates@official-source.com,Your feedback is important to us. Participate in our survey!,0
Team meeting scheduled for tomorrow,updates@official-source.com,Friendly reminder: Your account is in good standing,0
Meeting rescheduled to next week,service@trusted-payment.com,We've updated our security features. No action is required on your part.,0
Payment failed: Update your billing details,no-reply@payment-failure.com,Your package delivery failed. Confirm your address.,1
Account activity summary available,care@verified-service.com,Your monthly statement is attached. Let us know if you have questions.,0
Unusual activity detected on your account,support@funds-transfer.com,Exclusive offer: Redeem your coupon before it expires!,1
Payment failed: Update your billing details,service@banking-alert.com,Click the link below to verify your account immediately!,1
Meeting rescheduled to next week,admin@paypal.com,Friendly reminder: Your account is in good standing,0
Unauthorized access attempt detected,security@facebook-help.com,Exclusive offer: Redeem your coupon before it expires!,1
Claim your free gift card today!,account@amazon-verification.com,Your account has been locked. Click below to restore access.,1
Your password will expire soon!,service@order-cancellation.com,Update your billing information to avoid service interruption.,1
Account security breach detected,no-reply@payment-failure.com,Your account has been locked. Click below to restore access.,1
We appreciate your feedback!,support@subscription.com,Your monthly statement is attached. Let us know if you have questions.,0
Your order has been canceled,account@amazon-verification.com,Update your billing information to avoid service interruption.,1
Limited-time offer! Claim your bonus now,urgent@finance-support.com,Get exclusive VIP benefits now!,1
Upcoming maintenance alert,contact@amazon.com,Reminder: Your service plan has been renewed successfully.,0
Suspicious login detected on your account,support@secure-b4nk.com,Click the link below to verify your account immediately!,1
We appreciate your feedback!,notification@banking-updates.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
We appreciate your feedback!,admin@paypal.com,Enjoy new features in your latest app update,0
Your order has been canceled,lottery@big-win.com,Get exclusive VIP benefits now!,1
Important notice: Update your credentials,security@facebook-help.com,Suspicious login detected: Secure your account now!,1
Your PayPal account has been suspended,alerts@fraud-detection.com,Congratulations! You're eligible for a special discount,1
Urgent! Verify your account now,verification@secure-portal.com,Security alert: Your password has been compromised,1
Meeting rescheduled to next week,alerts@finance-notice.com,Automatic bill payment confirmation,0
Invoice for your recent purchase,no-reply@billing.com,Your order has been shipped. Track your package here.,0
Account activity summary available,updates@official-source.com,Automatic bill payment confirmation,0
Important notice: Update your credentials,alerts@fraud-detection.com,Congratulations! You're eligible for a special discount,1
Suspicious login detected on your account,support@secure-b4nk.com,Confirm your email for a security upgrade,1
Payment failed: Update your billing details,lottery@big-win.com,Get exclusive VIP benefits now!,1
Upcoming maintenance alert,team@corporate-mail.com,Your feedback is important to us. Participate in our survey!,0
Important notice: Update your credentials,lottery@big-win.com,You have won a lucky draw! Claim your prize here.,1
Claim your free gift card today!,support@secure-b4nk.com,Your payment has been declined. Confirm your details.,1
Important security notice for your account,info@officialnews.com,Your invoice for this month's subscription is available in your dashboard.,0
Upcoming maintenance alert,service@trusted-payment.com,Your invoice for this month's subscription is available in your dashboard.,0
Important security notice for your account,support@bank.com,Your monthly statement is attached. Let us know if you have questions.,0
Suspicious login detected on your account,service@banking-alert.com,Confirm your email for a security upgrade,1
Welcome to our service!,newsletter@company.com,Automatic bill payment confirmation,0
Billing confirmation for your service,newsletter@company.com,Your invoice for this month's subscription is available in your dashboard.,0
Invoice for your recent purchase,support@subscription.com,We have received your support request,0
Your monthly bank statement is ready,care@verified-service.com,Thanks for signing up! Here are some useful resources to get started.,0
Meeting rescheduled to next week,service@trusted-payment.com,Enjoy new features in your latest app update,0
Claim your free gift card today!,service@banking-alert.com,Your payment has been declined. Confirm your details.,1
Welcome to our service!,admin@paypal.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Upcoming maintenance alert,contact@customer-support.com,We've updated our security features. No action is required on your part.,0
Security update: New features available,security@facebook.com,Friendly reminder: Your account is in good standing,0
Unusual activity detected on your account,no-reply@payment-failure.com,Update your billing information to avoid service interruption.,1
Account security breach detected,lottery@big-win.com,Suspicious login detected: Secure your account now!,1
Your order has been canceled,info@claim-reward.com,Get exclusive VIP benefits now!,1
Important notice: Update your credentials,help@banking-security.com,Your package delivery failed. Confirm your address.,1
Important notice: Update your credentials,alerts@fraud-detection.com,We've detected unauthorized access. Reset your password now!,1
Friendly reminder: Upcoming event,updates@official-source.com,Your invoice for this month's subscription is available in your dashboard.,0
Important notice: Update your credentials,info@claim-reward.com,You have won a lucky draw! Claim your prize here.,1
Urgent! Verify your account now,accounts@secure-login.com,Congratulations! You're eligible for a special discount,1
Your delivery is scheduled,support@bank.com,Friendly reminder: Your account is in good standing,0
Limited-time offer! Claim your bonus now,alerts@fraud-detection.com,Security alert: Your password has been compromised,1
Upcoming maintenance alert,newsletter@company.com,We have received your support request,0
Invoice for your recent purchase,no-reply@billing.com,Reminder: Your service plan has been renewed successfully.,0
Thank you for your recent purchase,admin@paypal.com,Important: Policy changes you should be aware of.,0
Meeting rescheduled to next week,notification@banking-updates.com,Your subscription has been successfully renewed,0
Payment failed: Update your billing details,accounts@secure-login.com,You have won a lucky draw! Claim your prize here.,1
We appreciate your feedback!,no-reply@billing.com,Your feedback is important to us. Participate in our survey!,0
Friendly reminder: Upcoming event,security@facebook.com,Friendly reminder: Your account is in good standing,0
Upcoming maintenance alert,contact@amazon.com,Your subscription has been successfully renewed,0
Account activity summary available,support@bank.com,Your monthly statement is attached. Let us know if you have questions.,0
Account activity summary available,care@verified-service.com,Important: Policy changes you should be aware of.,0
Thank you for your recent purchase,support@bank.com,We've updated our security features. No action is required on your part.,0
Team meeting scheduled for tomorrow,team@corporate-mail.com,Friendly reminder: Your account is in good standing,0
Urgent! Verify your account now,lottery@big-win.com,Your loan application has been pre-approved!,1
Account activity summary available,security@facebook.com,Your order has been shipped. Track your package here.,0
New security alert: Immediate action required,service@order-cancellation.com,We've detected unauthorized access. Reset your password now!,1
Suspicious login detected on your account,info@claim-reward.com,Your payment has been declined. Confirm your details.,1
Upcoming maintenance alert,info@officialnews.com,Your invoice for this month's subscription is available in your dashboard.,0
Confirm your identity to prevent deactivation,account@amazon-verification.com,Exclusive offer: Redeem your coupon before it expires!,1
Your delivery is scheduled,contact@amazon.com,Important: Policy changes you should be aware of.,0
We appreciate your feedback!,no-reply@billing.com,We've updated our security features. No action is required on your part.,0
Important security notice for your account,alerts@finance-notice.com,Join us for our upcoming webinar. Click here to register.,0
Meeting rescheduled to next week,care@verified-service.com,Your order has been shipped. Track your package here.,0
Upcoming maintenance alert,admin@paypal.com,Your feedback is important to us. Participate in our survey!,0
New security alert: Immediate action required,support@funds-transfer.com,Congratulations! You're eligible for a special discount,1
Team meeting scheduled for tomorrow,contact@customer-support.com,We have received your support request,0
Thank you for your recent purchase,contact@amazon.com,Your monthly statement is attached. Let us know if you have questions.,0
Your delivery is scheduled,notification@banking-updates.com,Thanks for signing up! Here are some useful resources to get started.,0
Welcome to our service!,contact@customer-support.com,Your monthly statement is attached. Let us know if you have questions.,0
Security update: New features available,service@trusted-payment.com,Friendly reminder: Your account is in good standing,0
Congratulations! You have won a prize!,alerts@fraud-detection.com,Your account will be suspended if no action is taken within 24 hours.,1
Important notice: Update your credentials,no-reply@payment-failure.com,Your loan application has been pre-approved!,1
Important security notice for your account,service@trusted-payment.com,Friendly reminder: Your account is in good standing,0
New security alert: Immediate action required,accounts@secure-login.com,Your account will be suspended if no action is taken within 24 hours.,1
Your delivery is scheduled,security@facebook.com,Enjoy new features in your latest app update,0
Billing confirmation for your service,info@officialnews.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Subscription renewal confirmation,support@bank.com,Your order has been shipped. Track your package here.,0
New security alert: Immediate action required,urgent@finance-support.com,Suspicious login detected: Secure your account now!,1
Congratulations! You have won a prize!,help@banking-security.com,Update your billing information to avoid service interruption.,1
Team meeting scheduled for tomorrow,care@verified-service.com,Your order has been shipped. Track your package here.,0
Confirm your identity to prevent deactivation,admin@paypal-security.com,Your account has been locked. Click below to restore access.,1
Welcome to our service!,updates@official-source.com,Important: Policy changes you should be aware of.,0
Your PayPal account has been suspended,lottery@big-win.com,Your account will be suspended if no action is taken within 24 hours.,1
Welcome to our service!,service@trusted-payment.com,Enjoy new features in your latest app update,0
Friendly reminder: Upcoming event,team@corporate-mail.com,Your monthly statement is attached. Let us know if you have questions.,0
Your delivery is scheduled,no-reply@billing.com,We've updated our security features. No action is required on your part.,0
Your PayPal account has been suspended,no-reply@payment-failure.com,Update your billing information to avoid service interruption.,1
Thank you for your recent purchase,alerts@finance-notice.com,Thanks for signing up! Here are some useful resources to get started.,0
Upcoming maintenance alert,contact@amazon.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Unusual activity detected on your account,security@facebook-help.com,Your loan application has been pre-approved!,1
Account activity summary available,newsletter@company.com,Join us for our upcoming webinar. Click here to register.,0
Friendly reminder: Upcoming event,service@trusted-payment.com,Reminder: Your service plan has been renewed successfully.,0
Meeting rescheduled to next week,care@verified-service.com,Reminder: Your service plan has been renewed successfully.,0
Your order has been canceled,help@banking-security.com,Get exclusive VIP benefits now!,1
Upcoming maintenance alert,team@corporate-mail.com,Thanks for signing up! Here are some useful resources to get started.,0
Your monthly bank statement is ready,support@bank.com,Automatic bill payment confirmation,0
Team meeting scheduled for tomorrow,newsletter@company.com,Thanks for signing up! Here are some useful resources to get started.,0
New security alert: Immediate action required,service@order-cancellation.com,Your loan application has been pre-approved!,1
Suspicious login detected on your account,help@banking-security.com,Click the link below to verify your account immediately!,1
Upcoming maintenance alert,no-reply@billing.com,Friendly reminder: Your account is in good standing,0
Your monthly bank statement is ready,info@officialnews.com,Reminder: Your service plan has been renewed successfully.,0
Meeting rescheduled to next week,care@verified-service.com,Your monthly statement is attached. Let us know if you have questions.,0
Invoice for your recent purchase,notification@banking-updates.com,We've updated our security features. No action is required on your part.,0
We appreciate your feedback!,contact@customer-support.com,Your order has been shipped. Track your package here.,0
Subscription renewal confirmation,care@verified-service.com,We've updated our security features. No action is required on your part.,0
Friendly reminder: Upcoming event,alerts@finance-notice.com,Important: Policy changes you should be aware of.,0
Your PayPal account has been suspended,help@banking-security.com,Exclusive offer: Redeem your coupon before it expires!,1
Your delivery is scheduled,contact@customer-support.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Limited-time offer! Claim your bonus now,info@claim-reward.com,Your account will be suspended if no action is taken within 24 hours.,1
Suspicious login detected on your account,service@order-cancellation.com,Exclusive offer: Redeem your coupon before it expires!,1
Friendly reminder: Upcoming event,support@bank.com,Important: Policy changes you should be aware of.,0
Account security breach detected,verification@secure-portal.com,Update your billing information to avoid service interruption.,1
Welcome to our service!,info@officialnews.com,Your feedback is important to us. Participate in our survey!,0
Unauthorized access attempt detected,no-reply@payment-failure.com,Click the link below to verify your account immediately!,1
Important notice: Update your credentials,admin@paypal-security.com,Congratulations! You're eligible for a special discount,1
We appreciate your feedback!,contact@amazon.com,Your feedback is important to us. Participate in our survey!,0
Your password will expire soon!,alerts@fraud-detection.com,Get exclusive VIP benefits now!,1
Important notice: Update your credentials,service@order-cancellation.com,You have won a lucky draw! Claim your prize here.,1
Unusual activity detected on your account,support@funds-transfer.com,Your package delivery failed. Confirm your address.,1
Congratulations! You have won a prize!,admin@paypal-security.com,Get exclusive VIP benefits now!,1
Billing confirmation for your service,support@bank.com,We've updated our security features. No action is required on your part.,0
Thank you for your recent purchase,contact@amazon.com,We've updated our security features. No action is required on your part.,0
Your password will expire soon!,support@secure-b4nk.com,We've detected unauthorized access. Reset your password now!,1
Welcome to our service!,service@trusted-payment.com,Automatic bill payment confirmation,0
Your delivery is scheduled,alerts@finance-notice.com,We've updated our security features. No action is required on your part.,0
Claim your free gift card today!,lottery@big-win.com,Confirm your email for a security upgrade,1
Subscription renewal confirmation,notification@banking-updates.com,Your invoice for this month's subscription is available in your dashboard.,0
New security alert: Immediate action required,security@facebook-help.com,Congratulations! You're eligible for a special discount,1
Urgent! Verify your account now,help@banking-security.com,Update your billing information to avoid service interruption.,1
Important notice: Update your credentials,support@secure-b4nk.com,Security alert: Your password has been compromised,1
Welcome to our service!,security@facebook.com,Join us for our upcoming webinar. Click here to register.,0
Your order has been canceled,verification@secure-portal.com,Your package delivery failed. Confirm your address.,1
Important notice: Update your credentials,no-reply@payment-failure.com,Get exclusive VIP benefits now!,1
Your PayPal account has been suspended,service@banking-alert.com,Your account will be suspended if no action is taken within 24 hours.,1
Important notice: Update your credentials,support@secure-b4nk.com,Your account will be suspended if no action is taken within 24 hours.,1
Suspicious login detected on your account,urgent@finance-support.com,Congratulations! You're eligible for a special discount,1
Congratulations! You have won a prize!,help@banking-security.com,Suspicious login detected: Secure your account now!,1
Friendly reminder: Upcoming event,newsletter@company.com,Reminder: Your service plan has been renewed successfully.,0
Upcoming maintenance alert,support@subscription.com,Friendly reminder: Your account is in good standing,0
Invoice for your recent purchase,updates@official-source.com,Enjoy new features in your latest app update,0
Unauthorized access attempt detected,verification@secure-portal.com,Update your billing information to avoid service interruption.,1
Claim your free gift card today!,info@claim-reward.com,Your package delivery failed. Confirm your address.,1
Your PayPal account has been suspended,service@order-cancellation.com,You have won a lucky draw! Claim your prize here.,1
Account activity summary available,alerts@finance-notice.com,Your feedback is important to us. Participate in our survey!,0
Suspicious login detected on your account,service@banking-alert.com,Your payment has been declined. Confirm your details.,1
Your delivery is scheduled,admin@paypal.com,Join us for our upcoming webinar. Click here to register.,0
Meeting rescheduled to next week,support@subscription.com,Enjoy new features in your latest app update,0
Payment failed: Update your billing details,no-reply@payment-failure.com,Confirm your email for a security upgrade,1
We appreciate your feedback!,security@facebook.com,Thanks for signing up! Here are some useful resources to get started.,0
Upcoming maintenance alert,service@trusted-payment.com,Automatic bill payment confirmation,0
Your password will expire soon!,service@banking-alert.com,Your payment has been declined. Confirm your details.,1
Congratulations! You have won a prize!,accounts@secure-login.com,Your package delivery failed. Confirm your address.,1
Thank you for your recent purchase,support@subscription.com,Your order has been shipped. Track your package here.,0
Payment failed: Update your billing details,accounts@secure-login.com,Your package delivery failed. Confirm your address.,1
Your PayPal account has been suspended,help@banking-security.com,We've detected unauthorized access. Reset your password now!,1
Friendly reminder: Upcoming event,updates@official-source.com,We have received your support request,0
Billing confirmation for your service,contact@customer-support.com,We've updated our security features. No action is required on your part.,0
New security alert: Immediate action required,alerts@fraud-detection.com,Your account has been locked. Click below to restore access.,1
Billing confirmation for your service,info@officialnews.com,Your subscription has been successfully renewed,0
Upcoming maintenance alert,contact@customer-support.com,Enjoy new features in your latest app update,0
Security update: New features available,admin@paypal.com,Your invoice for this month's subscription is available in your dashboard.,0
Congratulations! You have won a prize!,security@facebook-help.com,Your package delivery failed. Confirm your address.,1
Security update: New features available,admin@paypal.com,We have received your support request,0
Suspicious login detected on your account,lottery@big-win.com,Your account will be suspended if no action is taken within 24 hours.,1
Your order has been canceled,urgent@finance-support.com,We've detected unauthorized access. Reset your password now!,1
Security update: New features available,contact@customer-support.com,Your order has been shipped. Track your package here.,0
Your delivery is scheduled,admin@paypal.com,We've updated our security features. No action is required on your part.,0
Billing confirmation for your service,service@trusted-payment.com,Your order has been shipped. Track your package here.,0
Security update: New features available,service@trusted-payment.com,Important: Policy changes you should be aware of.,0
Friendly reminder: Upcoming event,newsletter@company.com,Join us for our upcoming webinar. Click here to register.,0
Important notice: Update your credentials,admin@paypal-security.com,Update your billing information to avoid service interruption.,1
Team meeting scheduled for tomorrow,admin@paypal.com,We've updated our security features. No action is required on your part.,0
Your password will expire soon!,info@claim-reward.com,Your package delivery failed. Confirm your address.,1
Invoice for your recent purchase,updates@official-source.com,Reminder: Your service plan has been renewed successfully.,0
Account activity summary available,service@trusted-payment.com,We've updated our security features. No action is required on your part.,0
Unauthorized access attempt detected,account@amazon-verification.com,Your account has been locked. Click below to restore access.,1
Welcome to our service!,admin@paypal.com,We've updated our security features. No action is required on your part.,0
Suspicious login detected on your account,help@banking-security.com,Exclusive offer: Redeem your coupon before it expires!,1
Security update: New features available,security@facebook.com,Enjoy new features in your latest app update,0
Your password will expire soon!,support@secure-b4nk.com,Exclusive offer: Redeem your coupon before it expires!,1
Your monthly bank statement is ready,admin@paypal.com,Your invoice for this month's subscription is available in your dashboard.,0
Meeting rescheduled to next week,notification@banking-updates.com,Join us for our upcoming webinar. Click here to register.,0
Limited-time offer! Claim your bonus now,urgent@finance-support.com,Confirm your email for a security upgrade,1
Unauthorized access attempt detected,service@order-cancellation.com,Exclusive offer: Redeem your coupon before it expires!,1
Payment failed: Update your billing details,help@banking-security.com,Get exclusive VIP benefits now!,1
Claim your free gift card today!,service@order-cancellation.com,Congratulations! You're eligible for a special discount,1
Billing confirmation for your service,care@verified-service.com,Enjoy new features in your latest app update,0
Security update: New features available,support@bank.com,Friendly reminder: Your account is in good standing,0
Account activity summary available,notification@banking-updates.com,Automatic bill payment confirmation,0
Important notice: Update your credentials,service@order-cancellation.com,Your account will be suspended if no action is taken within 24 hours.,1
Your monthly bank statement is ready,team@corporate-mail.com,Your monthly statement is attached. Let us know if you have questions.,0
Subscription renewal confirmation,notification@banking-updates.com,Join us for our upcoming webinar. Click here to register.,0
Limited-time offer! Claim your bonus now,no-reply@payment-failure.com,Click the link below to verify your account immediately!,1
Important notice: Update your credentials,accounts@secure-login.com,Confirm your email for a security upgrade,1
Urgent! Verify your account now,support@funds-transfer.com,Suspicious login detected: Secure your account now!,1
Your delivery is scheduled,contact@amazon.com,Your order has been shipped. Track your package here.,0
We appreciate your feedback!,team@corporate-mail.com,Friendly reminder: Your account is in good standing,0
New security alert: Immediate action required,verification@secure-portal.com,Exclusive offer: Redeem your coupon before it expires!,1
Congratulations! You have won a prize!,no-reply@payment-failure.com,Get exclusive VIP benefits now!,1
Invoice for your recent purchase,alerts@finance-notice.com,Your subscription has been successfully renewed,0
Your monthly bank statement is ready,contact@amazon.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Important notice: Update your credentials,support@secure-b4nk.com,Suspicious login detected: Secure your account now!,1
New security alert: Immediate action required,security@facebook-help.com,Click the link below to verify your account immediately!,1
Subscription renewal confirmation,newsletter@company.com,Friendly reminder: Your account is in good standing,0
Meeting rescheduled to next week,no-reply@billing.com,Reminder: Your service plan has been renewed successfully.,0
Invoice for your recent purchase,updates@official-source.com,Your subscription has been successfully renewed,0
New security alert: Immediate action required,service@order-cancellation.com,Your package delivery failed. Confirm your address.,1
Suspicious login detected on your account,verification@secure-portal.com,Your account has been locked. Click below to restore access.,1
Meeting rescheduled to next week,support@bank.com,Important: Policy changes you should be aware of.,0
Congratulations! You have won a prize!,service@banking-alert.com,Click the link below to verify your account immediately!,1
Subscription renewal confirmation,service@trusted-payment.com,Your subscription has been successfully renewed,0
Your PayPal account has been suspended,lottery@big-win.com,Get exclusive VIP benefits now!,1
Important notice: Update your credentials,security@facebook-help.com,Get exclusive VIP benefits now!,1
Welcome to our service!,alerts@finance-notice.com,Join us for our upcoming webinar. Click here to register.,0
Meeting rescheduled to next week,updates@official-source.com,Important: Policy changes you should be aware of.,0
We appreciate your feedback!,newsletter@company.com,Automatic bill payment confirmation,0
Important security notice for your account,info@officialnews.com,Thanks for signing up! Here are some useful resources to get started.,0
Invoice for your recent purchase,support@subscription.com,Friendly reminder: Your account is in good standing,0
Limited-time offer! Claim your bonus now,verification@secure-portal.com,Security alert: Your password has been compromised,1
Your delivery is scheduled,updates@official-source.com,Thanks for signing up! Here are some useful resources to get started.,0
We appreciate your feedback!,notification@banking-updates.com,Reminder: Your service plan has been renewed successfully.,0
Unusual activity detected on your account,verification@secure-portal.com,Your payment has been declined. Confirm your details.,1
Your PayPal account has been suspended,verification@secure-portal.com,Suspicious login detected: Secure your account now!,1
Confirm your identity to prevent deactivation,support@funds-transfer.com,We've detected unauthorized access. Reset your password now!,1
Suspicious login detected on your account,alerts@fraud-detection.com,Your payment has been declined. Confirm your details.,1
Your monthly bank statement is ready,security@facebook.com,Your monthly statement is attached. Let us know if you have questions.,0
Limited-time offer! Claim your bonus now,urgent@finance-support.com,You have won a lucky draw! Claim your prize here.,1
Important notice: Update your credentials,accounts@secure-login.com,Your account has been locked. Click below to restore access.,1
Suspicious login detected on your account,info@claim-reward.com,Suspicious login detected: Secure your account now!,1
Team meeting scheduled for tomorrow,notification@banking-updates.com,Important: Policy changes you should be aware of.,0
Your password will expire soon!,urgent@finance-support.com,Exclusive offer: Redeem your coupon before it expires!,1
Claim your free gift card today!,accounts@secure-login.com,Your payment has been declined. Confirm your details.,1
Payment failed: Update your billing details,no-reply@payment-failure.com,You have won a lucky draw! Claim your prize here.,1
Security update: New features available,contact@customer-support.com,Your monthly statement is attached. Let us know if you have questions.,0
Upcoming maintenance alert,newsletter@company.com,Automatic bill payment confirmation,0
Welcome to our service!,support@subscription.com,Your invoice for this month's subscription is available in your dashboard.,0
Unauthorized access attempt detected,info@claim-reward.com,Security alert: Your password has been compromised,1
New security alert: Immediate action required,support@secure-b4nk.com,Exclusive offer: Redeem your coupon before it expires!,1
Friendly reminder: Upcoming event,support@subscription.com,Join us for our upcoming webinar. Click here to register.,0
Your PayPal account has been suspended,support@funds-transfer.com,Update your billing information to avoid service interruption.,1
Welcome to our service!,support@bank.com,Your subscription has been successfully renewed,0
We appreciate your feedback!,contact@amazon.com,Your invoice for this month's subscription is available in your dashboard.,0
Your delivery is scheduled,contact@amazon.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Confirm your identity to prevent deactivation,admin@paypal-security.com,Your payment has been declined. Confirm your details.,1
Payment failed: Update your billing details,admin@paypal-security.com,Suspicious login detected: Secure your account now!,1
Account security breach detected,urgent@finance-support.com,Click the link below to verify your account immediately!,1
Invoice for your recent purchase,admin@paypal.com,Thanks for signing up! Here are some useful resources to get started.,0
Billing confirmation for your service,updates@official-source.com,Your subscription has been successfully renewed,0
Your monthly bank statement is ready,updates@official-source.com,Your subscription has been successfully renewed,0
Urgent! Verify your account now,service@order-cancellation.com,Your loan application has been pre-approved!,1
Confirm your identity to prevent deactivation,no-reply@payment-failure.com,Confirm your email for a security upgrade,1
Upcoming maintenance alert,updates@official-source.com,Your feedback is important to us. Participate in our survey!,0
Team meeting scheduled for tomorrow,no-reply@billing.com,Your subscription has been successfully renewed,0
Upcoming maintenance alert,admin@paypal.com,Automatic bill payment confirmation,0
Congratulations! You have won a prize!,no-reply@payment-failure.com,Security alert: Your password has been compromised,1
Account security breach detected,no-reply@payment-failure.com,Confirm your email for a security upgrade,1
Subscription renewal confirmation,contact@customer-support.com,We have received your support request,0
Important security notice for your account,contact@customer-support.com,Automatic bill payment confirmation,0
New security alert: Immediate action required,account@amazon-verification.com,Suspicious login detected: Secure your account now!,1
Meeting rescheduled to next week,contact@customer-support.com,Enjoy new features in your latest app update,0
Confirm your identity to prevent deactivation,admin@paypal-security.com,Congratulations! You're eligible for a special discount,1
Unusual activity detected on your account,service@banking-alert.com,Your account will be suspended if no action is taken within 24 hours.,1
Team meeting scheduled for tomorrow,info@officialnews.com,Your order has been shipped. Track your package here.,0
Team meeting scheduled for tomorrow,alerts@finance-notice.com,Enjoy new features in your latest app update,0
Your order has been canceled,lottery@big-win.com,We've detected unauthorized access. Reset your password now!,1
Billing confirmation for your service,service@trusted-payment.com,Thanks for signing up! Here are some useful resources to get started.,0
Subscription renewal confirmation,support@bank.com,Your monthly statement is attached. Let us know if you have questions.,0
Account activity summary available,contact@amazon.com,Reminder: Your service plan has been renewed successfully.,0
We appreciate your feedback!,contact@customer-support.com,Automatic bill payment confirmation,0
Subscription renewal confirmation,no-reply@billing.com,Important: Policy changes you should be aware of.,0
Your monthly bank statement is ready,updates@official-source.com,Your feedback is important to us. Participate in our survey!,0
Welcome to our service!,notification@banking-updates.com,Enjoy new features in your latest app update,0
Important notice: Update your credentials,help@banking-security.com,You have won a lucky draw! Claim your prize here.,1
Account security breach detected,help@banking-security.com,Exclusive offer: Redeem your coupon before it expires!,1
We appreciate your feedback!,alerts@finance-notice.com,Reminder: Your service plan has been renewed successfully.,0
Meeting rescheduled to next week,service@trusted-payment.com,Thanks for signing up! Here are some useful resources to get started.,0
Welcome to our service!,support@subscription.com,Reminder: Your service plan has been renewed successfully.,0
Your order has been canceled,info@claim-reward.com,You have won a lucky draw! Claim your prize here.,1
Meeting rescheduled to next week,support@subscription.com,Thanks for signing up! Here are some useful resources to get started.,0
Subscription renewal confirmation,team@corporate-mail.com,Thanks for signing up! Here are some useful resources to get started.,0
Payment failed: Update your billing details,support@secure-b4nk.com,Get exclusive VIP benefits now!,1
Your password will expire soon!,accounts@secure-login.com,Update your billing information to avoid service interruption.,1
Subscription renewal confirmation,info@officialnews.com,Automatic bill payment confirmation,0
Your order has been canceled,verification@secure-portal.com,Suspicious login detected: Secure your account now!,1
Your delivery is scheduled,support@subscription.com,Your monthly statement is attached. Let us know if you have questions.,0
Limited-time offer! Claim your bonus now,security@facebook-help.com,Click the link below to verify your account immediately!,1
Billing confirmation for your service,admin@paypal.com,Reminder: Your service plan has been renewed successfully.,0
Friendly reminder: Upcoming event,admin@paypal.com,Your order has been shipped. Track your package here.,0
Your monthly bank statement is ready,team@corporate-mail.com,Enjoy new features in your latest app update,0
Your order has been canceled,service@order-cancellation.com,You have won a lucky draw! Claim your prize here.,1
Your monthly bank statement is ready,updates@official-source.com,Automatic bill payment confirmation,0
Your monthly bank statement is ready,support@subscription.com,We have received your support request,0
